geometry,OBJECTID,GID_4,GID_0,COUNTRY,GID_1,NAME_1,GID_2,NAME_2,GID_3,NAME_3,NAME_4,VARNAME_4,TYPE_4,ENGTYPE_4,CC_4,Shape_Leng,Shape_Area,uncovered_area,total_area,percent_uncovered
POLYGON EMPTY,1,IDN.4.7.2.1_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.2_1,Ciputat,Cipayung,NA,Kelurahan,Urban Community,3674040007,0.08982253027,0.00023022399,0.0,2.8173913145814327,0.0
POLYGON EMPTY,2,IDN.4.7.2.2_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.2_1,Ciputat,Ciputat,NA,Kelurahan,Urban Community,3674040006,0.08177242976,0.0001391714,0.0,1.7031483418356528,0.0
POLYGON EMPTY,3,IDN.4.7.2.3_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.2_1,Ciputat,Jombang,NA,Kelurahan,Urban Community,3674040002,0.09021222706,0.00031123546,0.0,3.808823009902677,0.0
POLYGON EMPTY,4,IDN.4.7.2.4_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.2_1,Ciputat,Sarua,NA,Kelurahan,Urban Community,3674040001,0.09846629785,0.00031846122,0.0,3.897154199457348,0.0
POLYGON EMPTY,5,IDN.4.7.2.5_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.2_1,Ciputat,Sarua Indah,NA,Kelurahan,Urban Community,3674040004,0.07060898057,0.00021864258,0.0,2.675669669662698,0.0
POLYGON EMPTY,6,IDN.4.7.2.6_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.2_1,Ciputat,Sawah,NA,Kelurahan,Urban Community,3674040005,0.07746527797,0.00027261435,0.0,3.336282252421597,0.0
POLYGON EMPTY,7,IDN.4.7.2.7_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.2_1,Ciputat,Sawah Baru,NA,Kelurahan,Urban Community,3674040003,0.06898170024,0.00023340435,0.0,2.8564211772647234,0.0
POLYGON EMPTY,8,IDN.4.7.1.1_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.1_1,Ciputat Timur,Cempaka Putih,NA,Kelurahan,Urban Community,3674050003,0.07667502254,0.00019221974,0.0,2.352441377272577,0.0
POLYGON EMPTY,9,IDN.4.7.1.2_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.1_1,Ciputat Timur,Cireundeu,NA,Kelurahan,Urban Community,3674050002,0.10075725782,0.00026806845,0.0,3.2807113496361384,0.0
POLYGON EMPTY,10,IDN.4.7.1.3_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.1_1,Ciputat Timur,Pisangan,NA,Kelurahan,Urban Community,3674050001,0.10772356021,0.00033692376,0.0,4.123278241527103,0.0
POLYGON EMPTY,11,IDN.4.7.1.4_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.1_1,Ciputat Timur,Pondok Ranji,NA,Kelurahan,Urban Community,3674050006,0.09404363467,0.00029759361,0.0,3.642099269346666,0.0
POLYGON EMPTY,12,IDN.4.7.1.5_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.1_1,Ciputat Timur,Rempoa,NA,Kelurahan,Urban Community,3674050004,0.08134310229,0.00021787271,0.0,2.6664640221398517,0.0
POLYGON EMPTY,13,IDN.4.7.1.6_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.1_1,Ciputat Timur,Rengas,NA,Kelurahan,Urban Community,3674050005,0.06218470991,0.00016842919,0.0,2.0613535796862634,0.0
POLYGON EMPTY,14,IDN.4.7.3.1_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.3_1,Pamulang,Bambu Apus,NA,Kelurahan,Urban Community,3674030007,0.07089958416,0.0002001566,0.0,2.4493949768854058,0.0
POLYGON EMPTY,15,IDN.4.7.3.2_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.3_1,Pamulang,Benda Baru,NA,Kelurahan,Urban Community,3674030008,0.0691366897,0.00026220946,0.0,3.208679468268025,0.0
POLYGON EMPTY,16,IDN.4.7.3.3_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.3_1,Pamulang,Kedaung,NA,Kelurahan,Urban Community,3674030006,0.06064086403,0.0001751032,0.0,2.1428824950896526,0.0
POLYGON EMPTY,17,IDN.4.7.3.4_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.3_1,Pamulang,Pamulang Barat,NA,Kelurahan,Urban Community,3674030002,0.10119239341,0.00036662264,0.0,4.486382886516132,0.0
POLYGON EMPTY,18,IDN.4.7.3.5_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.3_1,Pamulang,Pamulang Timur,NA,Kelurahan,Urban Community,3674030003,0.07924819687,0.00023607349,0.0,2.888840413087211,0.0
POLYGON EMPTY,19,IDN.4.7.3.6_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.3_1,Pamulang,Pondok Benda,NA,Kelurahan,Urban Community,3674030001,0.14526602378,0.0003681279,0.0,4.504707493982364,0.0
POLYGON EMPTY,20,IDN.4.7.3.7_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.3_1,Pamulang,Pondok Cabe Ilir,NA,Kelurahan,Urban Community,3674030005,0.08366853474,0.00027311906,0.0,3.3423594385955804,0.0
POLYGON EMPTY,21,IDN.4.7.3.8_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.3_1,Pamulang,Pondok Cabe Udik,NA,Kelurahan,Urban Community,3674030004,0.09582612209,0.00040645028,0.0,4.973836433559718,0.0
