geometry,OBJECTID,GID_4,GID_0,COUNTRY,GID_1,NAME_1,GID_2,NAME_2,GID_3,NAME_3,NAME_4,VARNAME_4,TYPE_4,ENGTYPE_4,CC_4,Shape_Leng,Shape_Area,uncovered_area,total_area,percent_uncovered
"MULTIPOLYGON (((693662.5600710484 9298697.150600616, 693661.91802339 9298710.21978094, 693658.3463531571 9298734.298025824, 693660.5969845076 9298731.26340074, 693689.1202541229 9298699.792822368, 693662.5600710484 9298697.150600616)), ((693266.263656516 9299158.53178621, 693263.106766497 9299223.829599965, 693258.2797883106 9299294.617453923, 693238.2050867727 9299349.952378137, 693206.2338586213 9299382.17607283, 693188.6321876893 9299419.836145312, 693183.518623339 9299436.167796526, 693210.3729761938 9299399.958893305, 693243.3248122819 9299363.602144793, 693279.6815607933 9299330.650308706, 693319.0930863654 9299301.420729235, 693361.1798344621 9299276.194903214, 693405.5364866926 9299255.21576913, 693451.7358642479 9299238.68536752, 693460.9672012592 9299236.373037975, 693455.0616785461 9299196.561237674, 693452.6540418823 9299147.55266751, 693455.0616785461 9299098.544097345, 693460.2623709489 9299063.483877037, 693442.1107765636 9299076.946016928, 693400.0240284669 9299102.17184295, 693355.6673762364 9299123.150977032, 693309.4679986811 9299139.681378642, 693267.6102524587 9299150.166198254, 693266.263656516 9299158.53178621)), ((693487.9554445951 9300916.456675338, 693530.0421926918 9300891.230849316, 693570.8943266371 9300871.90922894, 693571.2732447286 9300864.196173996, 693578.4729678631 9300815.659583151, 693590.3954401986 9300768.062405532, 693606.925841809 9300721.863027977, 693627.9049758905 9300677.506375747, 693653.1308019134 9300635.41962765, 693682.3603813833 9300596.008102078, 693715.3122174714 9300559.651353566, 693727.3596194307 9300548.732224906, 693703.9717558635 9300534.714078957, 693701.8162736036 9300533.115464361, 693697.9440955787 9300537.387754448, 693661.5873470673 9300570.339590535, 693622.5662623729 9300599.279599315, 693622.1567762359 9300607.614881119, 693614.9570531014 9300656.151471963, 693603.0345807659 9300703.748649582, 693586.5041791555 9300749.948027138, 693565.5250450739 9300794.304679368, 693540.299219051 9300836.391427465, 693511.0696395811 9300875.802953037, 693478.117803493 9300912.159701549, 693441.7610549816 9300945.111537635, 693410.8117777484 9300968.065086003, 693421.0289626777 9300970.624357598, 693448.543919023 9300945.686254809, 693487.9554445951 9300916.456675338)))",1,IDN.4.7.2.1_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.2_1,Ciputat,Cipayung,NA,Kelurahan,Urban Community,3674040007,0.08982253027,0.00023022399,0.0459811830184063,2.8173913145814327,1.63
"POLYGON ((693001.2686571021 9299685.885787837, 692949.8726777 9299715.906975811, 692940.5568766238 9299707.078711716, 692926.123696628 9299682.815836912, 692937.0350290051 9299663.952468567, 692927.7264551242 9299657.339180008, 692913.3641805939 9299654.117784867, 692896.4803149251 9299654.174488777, 692885.5057531543 9299654.211343823, 692875.2562331501 9299618.807221996, 692861.752714782 9299619.959955519, 692831.3876548556 9299627.814182116, 692832.2617739431 9299636.670797678, 692832.3322380526 9299657.65951551, 692824.749166879 9299662.114747718, 692791.0595033825 9299685.484315539, 692774.7102209494 9299701.36694422, 692778.214166073 9299703.467128104, 692817.6256916451 9299732.696707575, 692853.9824401565 9299765.648543661, 692886.9342762446 9299802.005292173, 692916.1638557145 9299841.416817745, 692941.3896817374 9299883.503565842, 692942.9422895855 9299886.786279328, 692957.8854783041 9299866.637721771, 692990.8373143922 9299830.28097326, 693027.1940629036 9299797.329137173, 693066.6055884757 9299768.099557701, 693098.4434407098 9299749.016683456, 693096.8782028751 9299717.155535387, 693099.285839539 9299668.146965222, 693099.9050611819 9299663.972511988, 693001.2686571021 9299685.885787837))",2,IDN.4.7.2.2_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.2_1,Ciputat,Ciputat,NA,Kelurahan,Urban Community,3674040006,0.08177242976,0.0001391714,0.03958159923724985,1.7031483418356528,2.32
"POLYGON ((688478.4555298494 9302904.74904353, 688300.3055127284 9302899.793586211, 687896.0109571086 9302928.796972098, 687888.4239085247 9302932.143978583, 687872.3871580118 9302933.303548945, 687851.2670679124 9302928.942636164, 687840.292142654 9302928.978359817, 687828.4979833325 9302936.715962794, 687817.530265477 9302938.966379626, 687798.131092179 9302944.5668666, 687788.9093928565 9302964.530359233, 687779.6622929119 9302976.689434202, 687764.4951600633 9302985.598216882, 687743.4255036846 9302996.740915718, 687740.0809710737 9303006.718811583, 687754.4616188672 9303015.478604466, 687768.0016411992 9303025.401353177, 687776.483550594 9303037.555497881, 687778.6151623871 9303042.432124972, 687814.9971348738 9303033.318915278, 687863.533725717 9303026.119192144, 687912.5422958818 9303023.71155548, 687961.5508660466 9303026.119192144, 688010.0874568898 9303033.318915278, 688057.684634509 9303045.241387613, 688103.8840120643 9303061.771789223, 688148.2406642948 9303082.750923306, 688190.3274123915 9303107.976749327, 688229.7389379636 9303137.206328798, 688259.7145941807 9303164.37467995, 688278.4462912522 9303173.234112857, 688291.2361656846 9303180.900068576, 688335.0256962847 9303191.868774984, 688357.9366051053 9303200.06642924, 688374.2219614332 9303199.266380986, 688423.230531598 9303201.674017651, 688471.7671224412 9303208.873740785, 688519.3643000604 9303220.79621312, 688530.2289999805 9303224.683664912, 688552.9996876823 9303225.802317066, 688601.5362785255 9303233.0020402, 688649.1334561447 9303244.924512535, 688695.3328337 9303261.454914145, 688697.7109642113 9303262.579686109, 688741.1626011023 9303242.028592404, 688787.3619786575 9303225.498190794, 688834.9591562768 9303213.575718459, 688883.49574712 9303206.375995325, 688932.5043172848 9303203.96835866, 688961.6446668665 9303205.399932237, 688977.0994280119 9303191.392553225, 688934.7302202352 9303193.474018931, 688885.7216500704 9303191.066382267, 688837.1850592272 9303183.866659133, 688789.5878816079 9303171.944186797, 688743.3885040527 9303155.413785188, 688699.0318518222 9303134.434651105, 688656.9451037254 9303109.208825083, 688617.5335781534 9303079.979245612, 688581.1768296419 9303047.027409526, 688548.2249935538 9303010.670661014, 688518.9954140839 9302971.259135442, 688493.769588061 9302929.172387345, 688481.1512914087 9302902.49324062, 688478.4555298494 9302904.74904353))",3,IDN.4.7.2.3_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.2_1,Ciputat,Jombang,NA,Kelurahan,Urban Community,3674040002,0.09021222706,0.00031123546,0.1848719463110028,3.808823009902677,4.85
"POLYGON ((688300.3055127284 9302899.793586211, 688478.4555298494 9302904.74904353, 688481.1512914087 9302902.49324062, 688472.7904539795 9302884.815735115, 688456.2600523691 9302838.61635756, 688444.3375800336 9302791.01917994, 688443.4997678888 9302785.371109242, 688410.4512470416 9302790.273394218, 688361.4426768768 9302792.681030883, 688312.434106712 9302790.273394218, 688263.8975158688 9302783.073671084, 688216.3003382495 9302771.151198748, 688170.1009606943 9302754.620797139, 688155.8658611036 9302747.88809645, 688135.4569263963 9302750.915475935, 688086.4483562316 9302753.3231126, 688037.4397860668 9302750.915475935, 687988.9031952235 9302743.7157528, 687941.3060176043 9302731.793280466, 687918.2486205397 9302723.543211877, 687903.3503149018 9302734.592548393, 687900.7474660496 9302736.152635956, 687906.3843182896 9302744.034050783, 687920.7651202877 9302752.846654832, 687943.609596177 9302768.27607625, 687947.0117917516 9302776.017076503, 687946.2178317597 9302791.470965395, 687937.8188661569 9302804.787434187, 687920.9705390567 9302815.916475829, 687915.938781421 9302826.268714163, 687908.3934296416 9302842.482900847, 687906.762483956 9302860.154233703, 687903.5694903869 9302916.59061517, 687896.0109571086 9302928.796972098, 688300.3055127284 9302899.793586211))",4,IDN.4.7.2.4_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.2_1,Ciputat,Sarua,NA,Kelurahan,Urban Community,3674040001,0.09846629785,0.00031846122,0.0783794701591587,3.897154199457348,2.01
POLYGON EMPTY,5,IDN.4.7.2.5_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.2_1,Ciputat,Sarua Indah,NA,Kelurahan,Urban Community,3674040004,0.07060898057,0.00021864258,0.0,2.675669669662698,0.0
POLYGON EMPTY,6,IDN.4.7.2.6_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.2_1,Ciputat,Sawah,NA,Kelurahan,Urban Community,3674040005,0.07746527797,0.00027261435,0.0,3.336282252421597,0.0
"MULTIPOLYGON (((690179.5413633797 9304728.278676309, 690228.5499335445 9304730.686312973, 690277.0865243877 9304737.886036107, 690313.7121460156 9304747.060276734, 690324.1235184654 9304737.623958789, 690363.5350440375 9304708.394379318, 690402.7781318574 9304684.872977674, 690394.342291493 9304688.862833021, 690348.1429139377 9304705.393234631, 690300.5457363185 9304717.315706966, 690252.0091454752 9304724.5154301, 690203.0005753104 9304726.923066765, 690153.9920051456 9304724.5154301, 690114.7377622299 9304718.692613212, 690074.1738418537 9304737.877918724, 690067.2279557751 9304740.363196502, 690069.6673897498 9304740.974242903, 690081.9962023717 9304737.886036107, 690130.5327932149 9304730.686312973, 690179.5413633797 9304728.278676309)), ((690449.9784443647 9304662.189419214, 690465.1902751714 9304656.74653912, 690471.5205051025 9304648.211212121, 690441.5426039998 9304666.17927456, 690449.9784443647 9304662.189419214)), ((690639.4384813507 9304507.192946127, 690621.0085526129 9304504.459124448, 690619.1619093996 9304503.996564403, 690618.7353814617 9304504.708183276, 690599.9713470673 9304530.008554844, 690632.7929084463 9304510.336068027, 690639.4384813507 9304507.192946127)))",7,IDN.4.7.2.7_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.2_1,Ciputat,Sawah Baru,NA,Kelurahan,Urban Community,3674040003,0.06898170024,0.00023340435,0.003815604973031619,2.8564211772647234,0.13
"POLYGON ((693777.6913441933 9302804.71095133, 693792.0874509582 9302808.316988353, 693838.2868285135 9302824.847389963, 693856.0721221133 9302833.259207364, 693861.9424163176 9302825.344031904, 693894.8942524057 9302788.987283392, 693931.2510009172 9302756.035447305, 693970.6625264892 9302726.805867834, 694002.9471108404 9302707.455232661, 694018.5766899606 9302686.381184785, 694051.5285260486 9302650.024436273, 694077.9176666207 9302626.106713424, 694062.5349291888 9302620.60268196, 694018.1782769583 9302599.623547878, 693976.0915288616 9302574.397721857, 693936.6800032895 9302545.168142386, 693900.323254778 9302512.216306299, 693867.37141869 9302475.859557787, 693838.1418392201 9302436.448032215, 693823.1965841864 9302411.513380589, 693834.9453719282 9302458.417170443, 693842.1450950627 9302506.953761287, 693844.5527317266 9302555.962331451, 693842.1450950627 9302604.970901616, 693834.9453719282 9302653.50749246, 693823.0228995926 9302701.10467008, 693806.4924979822 9302747.304047635, 693785.5133639007 9302791.660699865, 693777.6913441933 9302804.71095133))",8,IDN.4.7.1.1_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.1_1,Ciputat Timur,Cempaka Putih,NA,Kelurahan,Urban Community,3674050003,0.07667502254,0.00019221974,0.04866958059981671,2.352441377272577,2.07
"MULTIPOLYGON (((695600.2941814219 9304071.627703167, 695615.409009277 9304047.31779069, 695615.3585032575 9304032.393420387, 695609.3956704854 9304016.750938121, 695593.2876839186 9303997.081909444, 695585.5413591372 9303986.708565895, 695581.0392779717 9304017.059131797, 695570.607377333 9304058.705613637, 695577.8708030664 9304068.499209516, 695587.5550754318 9304084.656441838, 695600.2941814219 9304071.627703167)), ((695720.01712032 9303773.47203474, 695755.5343977624 9303790.438321553, 695775.8103054663 9303794.377534041, 695797.7554160166 9303792.562941445, 695816.3044973048 9303785.117104037, 695827.2406810517 9303773.477913825, 695828.8955339282 9303763.557990694, 695822.9031526598 9303739.213886319, 695808.4914429766 9303721.859703723, 695789.8254832537 9303694.710911691, 695787.7589898271 9303686.274256684, 695760.6892242131 9303716.141140522, 695724.3324757017 9303749.09297661, 695703.7179492878 9303764.381751386, 695720.01712032 9303773.47203474)), ((695865.3989657969 9303573.319020882, 695884.8829921781 9303592.71252763, 695894.1435466909 9303584.876214309, 695899.1235574991 9303559.59840618, 695901.5253498466 9303520.93443665, 695908.1105708277 9303471.181576997, 695920.6716432646 9303440.76273194, 695939.1520247066 9303413.17154899, 695948.4100330224 9303404.596771348, 695961.071410421 9303403.815577451, 695985.5678825292 9303407.47658812, 696001.6496168838 9303419.393210795, 696027.877508479 9303435.705341669, 696092.1759405379 9303475.039420309, 696131.910993586 9303490.936486999, 696157.24255486 9303491.852578387, 696195.2263492254 9303489.350270346, 696203.6450703286 9303482.20222874, 696221.2902752918 9303457.303361032, 696233.0039537142 9303426.096180873, 696239.6601624178 9303397.226611013, 696237.8902480223 9303373.290306952, 696232.7767328023 9303359.226946512, 696220.0848895658 9303351.04322397, 696206.5690334706 9303348.8741173, 696191.3837272287 9303352.300791748, 696158.5052361265 9303366.493217744, 696125.6144435542 9303377.099564202, 696059.8264330145 9303396.360844918, 696039.5570119444 9303394.373000223, 695988.0064521076 9303379.676265696, 695974.4626953697 9303369.280360097, 695972.7429331169 9303360.05724045, 695976.9319354877 9303350.55040587, 695986.1978029382 9303344.296129266, 696068.7922696121 9303301.773681609, 696085.6306528597 9303287.899548903, 696096.5421371374 9303269.035508294, 696114.1684790521 9303238.599374544, 696147.7859837492 9303193.395337073, 696154.4503180215 9303175.095390502, 696115.0266210741 9303177.032152541, 696066.0180509093 9303174.624515876, 696017.481460066 9303167.424792742, 695969.8842824468 9303155.502320407, 695923.6849048915 9303138.971918797, 695879.328252661 9303117.992784714, 695837.2415045643 9303092.766958693, 695818.430448737 9303078.815728862, 695822.8706397711 9303084.802633418, 695848.096465794 9303126.889381515, 695869.0755998755 9303171.246033745, 695885.606001486 9303217.4454113, 695897.5284738215 9303265.04258892, 695904.728196956 9303313.579179764, 695907.1358336199 9303362.587749928, 695904.728196956 9303411.596320093, 695897.5284738215 9303460.132910937, 695885.606001486 9303507.730088556, 695869.0755998755 9303553.929466112, 695861.7821413113 9303569.350188617, 695865.3989657969 9303573.319020882)), ((694609.5743469051 9301456.617167767, 694574.2398733065 9301493.230236733, 694555.7302239676 9301512.119513711, 694554.0828204311 9301524.25446551, 694552.4654095392 9301545.30157743, 694554.3779858866 9301611.637517773, 694557.8857057807 9301650.33379977, 694559.637784888 9301669.15495744, 694560.5604538508 9301692.355639383, 694559.9718137397 9301713.554228418, 694573.3044484961 9301741.743716167, 694575.9529721627 9301749.14584394, 694584.1405913199 9301726.262981342, 694605.1197254014 9301681.906329112, 694630.3455514243 9301639.819581015, 694659.5751308942 9301600.408055443, 694692.5269669823 9301564.051306931, 694728.8837154937 9301531.099470844, 694755.878960859 9301511.078432372, 694744.9591780927 9301508.34316918, 694698.7598005374 9301491.81276757, 694654.4031483069 9301470.833633488, 694618.4541628772 9301449.286640834, 694609.5743469051 9301456.617167767)), ((694619.046789362 9302511.679488022, 694608.8299960033 9302547.505833391, 694626.5505513757 9302555.887031892, 694637.0776669355 9302550.90807704, 694683.2770444908 9302534.37767543, 694730.87422211 9302522.455203095, 694779.4108129533 9302515.255479962, 694828.419383118 9302512.847843297, 694841.1450873209 9302513.473017056, 694849.4895675468 9302480.159984635, 694866.0199691572 9302433.96060708, 694886.3990183302 9302390.872727789, 694854.738641393 9302379.544463782, 694810.3819891625 9302358.565329699, 694768.2952410658 9302333.339503678, 694732.6162384988 9302306.878151933, 694717.5831853389 9302348.892720914, 694696.6040512574 9302393.249373144, 694671.3782252345 9302435.33612124, 694642.1486457646 9302474.747646812, 694620.6848852453 9302498.429257186, 694619.046789362 9302511.679488022)), ((695701.0957597353 9302957.24960706, 695700.2288708563 9302958.206071546, 695703.7320059562 9302960.804173607, 695701.0957597353 9302957.24960706)))",9,IDN.4.7.1.2_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.1_1,Ciputat Timur,Cireundeu,NA,Kelurahan,Urban Community,3674050002,0.10075725782,0.00026806845,0.14259481978689928,3.2807113496361384,4.35
"MULTIPOLYGON (((694619.046789362 9302511.679488022, 694620.6848852453 9302498.429257186, 694609.1968096765 9302511.104395324, 694581.4280316173 9302536.272548705, 694596.4236328244 9302541.63806061, 694608.8299960033 9302547.505833391, 694619.046789362 9302511.679488022)), ((694560.5604538508 9301692.355639383, 694559.637784888 9301669.15495744, 694557.8857057807 9301650.33379977, 694554.3779858866 9301611.637517773, 694552.4654095392 9301545.30157743, 694554.0828204311 9301524.25446551, 694555.7302239676 9301512.119513711, 694574.2398733065 9301493.230236733, 694609.5743469051 9301456.617167767, 694618.4541628772 9301449.286640834, 694612.3164002101 9301445.607807467, 694572.9048746381 9301416.378227996, 694562.2896307863 9301406.757131783, 694558.2994666669 9301433.656633284, 694546.3769943314 9301481.253810903, 694529.846592721 9301527.453188458, 694527.2224063743 9301533.001564322, 694532.3101306157 9301553.312898044, 694539.5098537502 9301601.849488888, 694541.9174904141 9301650.858059052, 694540.5932633919 9301677.813319331, 694552.3253144146 9301697.387063937, 694559.9718137397 9301713.554228418, 694560.5604538508 9301692.355639383)), ((696544.3744772854 9301642.535636052, 696550.1865304101 9301613.826943202, 696556.9082356279 9301604.364109997, 696570.4001206608 9301599.677196845, 696594.0231553867 9301594.955702225, 696664.073651334 9301588.38820672, 696711.3444189766 9301586.27552433, 696732.4332645515 9301581.193449745, 696842.0485908911 9301540.95010825, 696864.7840385374 9301523.574671617, 696881.6062202253 9301505.217537042, 696891.6820896683 9301489.045412924, 696899.2116866183 9301468.979790198, 696883.1304839582 9301457.168908022, 696865.3887686568 9301453.48529297, 696842.5729602398 9301447.340313513, 696802.0008186083 9301433.292795043, 696784.2275852395 9301420.38026709, 696776.5994621426 9301411.65212843, 696760.4988454166 9301394.145648545, 696750.2957968496 9301373.03312544, 696751.108388162 9301363.748596195, 696756.9992360348 9301358.243955748, 696769.6464296657 9301353.40170708, 696792.4120806821 9301344.885785148, 696808.4317253508 9301338.766436622, 696826.9806091443 9301331.530695522, 696835.3886388681 9301321.481959805, 696841.2301857937 9301301.527623443, 696840.3212635419 9301282.598043421, 696836.901173268 9301270.00575095, 696834.3415048064 9301262.156794453, 696826.6456343636 9301233.546844753, 696821.5096439247 9301212.944447517, 696817.2226460866 9301193.710110476, 696810.2209506523 9301176.590967052, 696790.058169109 9301175.600433111, 696789.0905920358 9301175.456906611, 696788.939967537 9301178.52293872, 696781.7402444024 9301227.059529565, 696769.8177720669 9301274.656707184, 696753.2873704565 9301320.85608474, 696732.308236375 9301365.21273697, 696707.0824103521 9301407.299485067, 696677.8528308822 9301446.711010639, 696644.9009947941 9301483.06775915, 696608.5442462827 9301516.019595237, 696569.1327207106 9301545.249174709, 696527.0459726139 9301570.47500073, 696506.8087095789 9301580.046513306, 696510.9202240616 9301586.906160804, 696531.8993581431 9301631.262813034, 696542.6706400585 9301661.366529306, 696544.3744772854 9301642.535636052)), ((696314.0397854978 9300447.726945944, 696303.8484724213 9300430.042452388, 696270.9200232839 9300429.047225814, 696251.1160478045 9300430.414128657, 696218.4242023301 9300460.044290252, 696179.012676758 9300489.273869723, 696166.5953976905 9300496.716500375, 696178.9622817544 9300517.349399922, 696199.9414158359 9300561.706052152, 696216.4718174463 9300607.905429708, 696223.1988341226 9300634.761185678, 696242.339034036 9300631.922005221, 696291.3476042008 9300629.514368556, 696340.3561743656 9300631.922005221, 696341.3237514389 9300632.065531721, 696341.4743759377 9300628.999499612, 696348.6740990722 9300580.462908767, 696360.5965714077 9300532.865731148, 696377.1269730182 9300486.666353593, 696395.6757866804 9300447.44818216, 696314.0397854978 9300447.726945944)))",10,IDN.4.7.1.3_1,IDN,Indonesia,IDN.4_1,Banten,IDN.4.7_1,Tangerang Selatan,IDN.4.7.1_1,Ciputat Timur,Pisangan,NA,Kelurahan,Urban Community,3674050001,0.10772356021,0.00033692376,0.09179545573930148,4.123278241527103,2.23
